Timestamp;dealdata
41305000;70
41331000;-44
41357000;51
41383000;11
41409000;29
41435000;23
41461000;55
41487000;-89
41512000;-25
41538000;-19
41564000;37
41590000;-9
41616000;15
41642000;-25
41668000;-73
41694000;-25
41720000;-19
41746000;-5
41772000;13
41798000;-17
41824000;11
41850000;-77
41876000;-1
41901000;-76
41926000;-73
41952000;15
41978000;-11
42004000;69
42030000;-41
42056000;-18
42082000;15
42108000;-29
42134000;15
42160000;47
42186000;23
42212000;-25
42239000;-41
42264000;-99
42290000;-17
42316000;11
42342000;-1
42368000;37
42393000;-31
42419000;43
42445000;23
42471000;5
42497000;-4
42523000;-61
42549000;14
42575000;-3
42601000;54
42627000;23
42652000;-77
42678000;-9
42704000;19
42730000;-63
42756000;79
42782000;-17
42808000;-25
42834000;-9
42860000;-19
42886000;5
42912000;-51
42938000;-25
42964000;30
42990000;-69
43015000;-85
43041000;53
43067000;23
43093000;-15
43119000;-12
43145000;13
43171000;-9
43197000;-35
43223000;-66
43249000;5
43275000;-9
43301000;67
43327000;-9
43353000;-35
43378000;33
43404000;-21
43430000;86
43456000;-3
43482000;-15
43507000;97
43533000;-51
43559000;29
43585000;-13
43611000;-41
43637000;-9
43663000;-25
43689000;-57
43715000;21
43741000;-33
43766000;-9
43792000;14
43818000;35
43844000;-57
43870000;-17
43896000;35
43922000;-65
43948000;-31
43974000;-46
44000000;-19
44025000;21
44052000;-83
44078000;29
44103000;-37
44128000;-62
44154000;35
44180000;-61
44206000;-53
44232000;31
44258000;2
44284000;-47
44310000;-9
44335000;-35
44361000;59
44387000;7
44413000;-54
44439000;-33
44465000;-49
44491000;20
44516000;31
44542000;-91
44568000;-25
44594000;67
44620000;7
44646000;-5
44672000;53
44698000;-66
44724000;-49
44750000;13
44776000;29
44802000;-27
44828000;-47
44853000;37
44878000;-33
44904000;-1
44930000;55
44956000;1
44982000;-14
45007000;14
45034000;13
45060000;-13
45086000;39
45112000;23
45138000;44
45164000;-49
45190000;-1
45216000;-1
45241000;64
45266000;7
45292000;-4
45318000;-21
45345000;11
45371000;-9
45397000;-31
45423000;-73
45449000;37
45475000;7
45501000;-31
45526000;18
45552000;-137
45578000;47
45604000;-17
45629000;-13
45655000;47
45681000;99
45707000;-49
45734000;-35
45759000;-21
45785000;18
45811000;23
45837000;39
45863000;35
45889000;-14
45915000;-41
45941000;125
45967000;38
45992000;-73
46017000;51
46043000;-5
46069000;-41
46095000;34
46121000;-65
46147000;-57
46173000;86
46199000;-21
46225000;19
46251000;-94
46276000;-14
46302000;-41
46328000;-18
46354000;-25
46380000;5
46406000;33
46432000;-125
46458000;-21
46484000;-113
46510000;-25
46536000;-58
46562000;11
46588000;-25
46614000;-11
46640000;-41
46666000;1
46692000;35
46718000;-63
46744000;-29
46769000;-75
46795000;-25
46822000;-41
46848000;-29
46874000;-53
46900000;-41
46926000;-21
46952000;-25
46978000;-63
47004000;35
47030000;-1
47056000;-57
47082000;55
47108000;-5
47133000;-29
47158000;-15
47184000;63
47210000;-12
47236000;-1
47262000;-14
47288000;15
47314000;-33
47340000;67
47366000;-5
47391000;43
47418000;-33
47444000;1
47470000;13
47496000;-1
47521000;47
47547000;-63
47573000;-19
47599000;-67
47625000;-65
47651000;-81
47677000;-75
47703000;23
47729000;-155
47755000;35
47781000;28
47807000;-133
47833000;-29
47859000;-15
47884000;-25
47910000;-1
47936000;-19
47962000;71
47988000;-18
48014000;21
48039000;37
48065000;-37
48091000;-65
48117000;27
48143000;119
48169000;-2
48195000;-105
48221000;22
48246000;-68
48272000;-41
48298000;15
48324000;-31
48349000;39
48375000;45
48401000;11
48427000;-61
48454000;11
48480000;-37
48506000;-89
48532000;-13
48558000;19
48584000;12
48610000;-33
48635000;-27
48661000;7
48687000;-25
48713000;51
48739000;17
48765000;-52
48791000;39
48817000;-17
48843000;-73
48869000;60
48895000;-27
48921000;-41
48947000;-1
48973000;-27
48998000;-33
49024000;39
49050000;-11
49076000;-73
49102000;-67
49128000;7
49154000;5
49180000;-43
49206000;-51
49232000;21
